Exercise,Weight_Sets_Reps,Date,Comments
BENCH Paused,65*17 75*6,20.12.22
BENCH,75*19 87*6,24.12.22
BENCH,80*17 95*3,28.12.22
SQUAT,90*12 110*5,03.01.23
BENCH Paused,70*17 75*11 80*6,09.01.23
BENCH,77*16 82*11 85*8 87*7,13.01.23
SQUAT,85*15 90*12 95*9 100*7,17.01.23
BENCH,85*14 90*11 92*8 95*6,21.01.23
SQUAT,90*12 100*8 105*6 110*5,27.01.23
BENCH,80*17 85*12 87*8 90*6,01.02.23
DEADLIFT,95*15 102*13 107*11 105*11 110*8,03.02.23
BENCH,85*15 90*9 92*7 95*5 70*13,05.02.23
DEADLIFT,100*10 105*9 110*7 115*6,07.02.23
BENCH Paused,72*17 77*12 82*8 85*6 70*13,11.02.23
BENCH,80*16 85*9 87*7 90*5 70*13,15.02.23
SQUAT,85*14 95*9 100*7 105*6,19.02.23
BENCH,85*12 90*8 95*5 100*3 80*9,30.02.23
BENCH Paused,72*14 77*8 80*6 82*5 70*10,05.03.23
SQUAT,85*15 90*12 95*10 100*8,11.03.23
BENCH,80*16 85*9 87*7 90*6 75*10,13.03.23
SQUAT,87*15 92*13 97*10 102*8,16.03.23
BENCH,85*15 90*8 95*4 100*3 80*8,19.03.23
BENCH,90(9 7 5 4) 80*9,21.03.23
DEADLIFT,122 8x5,23.03.23
SQUAT,110(8 7 6 5 5),25.03.23
BENCH Paused,80(10 8 6 5) 70*11,27.03.23
DEADLIFT,120(7 6 7 6 5),29.03.23
BENCH,90(11 7 5 5) 80*8,01.04.23
SQUAT,115(8 7 6 5) 110*5,02.04.23
BENCH,95(9 6 5 4) 85*7,03.04.23
DEADLIFT,125(9 7 6 6 5),04.04.23
SQUAT,117(8 7 6 5) 112*4,08.04.23
BENCH Paused,82(10 9 7 5) 80*11,10.04.23
DEADLIFT,160 130 5x4,12.04.23
BENCH,92(10 8 7 6) 90*7,16.04.23
SQUAT,120(8 6 6 6),19.04.23
BENCH,97(6 6 5 4) 92*5,21.04.23
DEADLIFT,160 130 6x4,23.04.23
SQUAT,120(8 7 6 5),27.04.23
BENCH Paused,85(10 10 7 6 8),30.04.23
DEADLIFT,135 7x3 135*6,01.05.23
BENCH,95(9 8 6 6) 90*7,03.05.23
SQUAT,130(5 5 5 3),05.05.23
BENCH,100(7 7 5 5 5),07.05.23
DEADLIFT,145(7 6 6 5),08.05.23
SQUAT,122*5,14.05.23
BENCH Paused,90*8 90*7 90*6 90*5 90*5,15.05.23
DEADLIFT C,130(7 6 6 5),17.05.23
BENCH,97(9 8 7 6 4),19.05.23
SQUAT,130 6x4 120*6,21.05.23
BENCH,105(7 6 5 3) 102*3,23.05.23
DEADLIFT,145(7 6 5 5),25.05.23
SQUAT,125(8 7 7 6),30.05.23
BENCH Paused,92(8 7 7 7) 90*8,01.06.23
DEADLIFT C,140(6 6 5 5),02.06.23
DEADLIFT,140 7x4,04.06.23
BENCH,100(9 8 7 6 5),06.06.23
DEADLIFT Paused,135(7 7 6 6),08.06.23
SQUAT,135(7 6 6 5),10.06.23
BENCH,107(7 5 4 4 3),11.06.23
DEADLIFT,150(7 6 6 6),13.06.23
SQUAT,130(8 7 6 5),14.06.23
BENCH Paused,95(8 7 6 5 5),16.06.23
DEADLIFT,160(6 5 5 4),18.06.23
SQUAT,140(5 4 4 3),20.06.23
BENCH,120 105 5x4,21.06.23
DEADLIFT C,150(5 4 4 4),22.06.23
BENCH,110(6 4 3 3 2),26.06.23
BENCH Paused,100(6 6 6 5 4),02.07.23
DEADLIFT,160(6 5 5 5),04.07.23
SQUAT,142(4 4 4 2),05.07.23
BENCH,125 105(7 6 6 6),07.07.23
DEADLIFT,180*3 160 4x2 150*4,08.07.23
SQUAT,150*2 130 4x3,10.07.23
BENCH,112(5 4 4 3 2),11.07.23
DEADLIFT,170(4 4 2 2),12.07.23
SQUAT,130 6x4,14.07.23
BENCH Paused,100(6 6 6 6 5),15.07.23
DEADLIFT,160 6x4,16.07.23
SQUAT,140 3x3,18.07.23
BENCH,107(6 6 4 5 5),19.07.23
DEADLIFT C,150(5 5 5 4),20.07.23
SQUAT,130(7 7 6 6),22.07.23
BENCH,115(4 4 4 3 3),24.07.23
DEADLIFT,190 190 170 3x2,25.07.23
SQUAT,142 4x4,27.07.23
BENCH Paused,102(6 6 5 5 3),28.07.23
DEADLIFT Paused,160 4x4,29.07.23
SQUAT,130(7 7 7 6),31.07.23
BENCH,107*2 100 5x4,01.08.23
DEADLIFT,172 3x4,02.08.23
SQUAT,145 4x3 140*2,04.08.23
BENCH,110(5 5 5 4 3),05.08.22
DEADLIFT C,150(5 5 5 6),06.08.23
SQUAT,130 7x4,09.08.23
BENCH Paused,100(6 6 6 5 5),11.08.23
DEADLIFT,140 7x3,12.08.23
SQUAT,145 4x4,13.08.23
BENCH,107 5x5,16.08.23
DEADLIFT Paused,165(4 4 3),17.08.23
SQUAT,132(7 6 6 6),19.08.23
BENCH,115(3 3 3 2 1),20.08.23
DEADLIFT,175 4x4,22.08.23
SQUAT,147(4 3 1) 130*4,23.08.23
BENCH Paused,100(6 6 6 6 4),25.08.23
DEADLIFT,165 6x4,27.08.23
SQUAT,135(7 7 7 6),28.08.23
BENCH,107(6 6 5 5 5),29.08.23
DEADLIFT,200 180(2 2 2),31.08.23
SQUAT Paused,125(7 7 7 6),01.09.23
BENCH,130 115 3x4,04.09.23
DEADLIFT C,160 4x4,05.09.23
SQUAT,147 4x4,06.09.23
BENCH Paused,102(6 6 5 5 5),08.09.23
DEADLIFT,210 180(2 2 2),09.09.23
SQUAT,135(7 7 7 6),10.09.23
BENCH,107(4 4 3 3),12.09.23
DEADLIFT,180 3x4,13.09.23
SQUAT,150 3x4,15.09.23
BENCH,110(3 1) 100 5x3,16.09.23
DEADLIFT Paused,160 5x4,18.09.23
SQUAT,135 7x4,19.09.23
BENCH Paused,100(6 6 6 5 3),21.09.23
DEADLIFT,175 4x4,23.09.23
SQUAT Paused,132 5x4,24.09.23
BENCH,105 5x5,25.09.23
DEADLIFT C,155 5x4,27.09.23
SQUAT,150 3x4,28.09.23
BENCH,110(3 3 3 3 3),29.09.23
DEADLIFT,192(2 2 2 2),02.10.23
SQUAT,140 6x4,03.10.23
BENCH Paused,100 5x5,05.10.23
DEADLIFT,200x2 182 3x3,07.10.23
SQUAT Paused,135 5x4,08.10.23
BENCH,107 5x5,10.10.23
DEADLIFT Paused,160 5x4,11.10.23
BENCH,112 3x5,12.10.23
SQUAT,160(2 2 1 0),13.10.23
BENCH,100(7 7 7 7 6),14.10.23
DEADLIFT,170 6x4,15.10.23
BENCH,110 4x5,17.10.23
SQUAT Paused,130 5x4,18.10.23
BENCH,102 6x5,19.10.23
DEADLIFT,182 4x4,20.10.23
SQUAT,130(7 7 7 5),22.10.23
BENCH,112 4x5,23.10.23
DEADLIFT C,170 3x4,24.10.23
BENCH,120(2 1) 110 3x3,25.10.23
SQUAT Paused,140 3x4,26.10.23
BENCH,105 7x4 105*6,27.10.23
DEADLIFT,190 3x4,28.10.23
SQUAT,120(8 8 8 6),29.10.23
BENCH,120(2 2 2 2 1),31.10.23
BENCH Paused,100(6 6 6 6 7),03.11.23
DEADLIFT,180(3 2 2),04.11.23
SQUAT,152 3x4,06.11.23
BENCH,110(5 5 5 5 6),07.11.23
DEADLIFT Paused,170(3 3 3 4),08.11.23
BENCH Paused,115(3 3 3 3 2),09.11.23
SQUAT,142(5 5 5 3),10.11.23
BENCH,130 120 2x5,11.11.23
DEADLIFT,182 4x4,12.11.23
BENCH Paused,110 4x6,13.11.23
BENCH Paused,105(6 6 6 6 7),14.11.23
SQUAT,145(4 4 3 3),15.11.23
BENCH,115(4 4 4 4) 115*5,16.11.23
BENCH,120 3x5,20.11.23
SQUAT,140*5 140 4x3,20.11.23
BENCH Paused,107 5x5,21.11.23
DEADLIFT Paused,170 4x4,23.11.23
BENCH,110 6x4 110*7,23.11.23
SQUAT,140 5x3 140*4,25.11.23
BENCH Paused,120 2x5,26.11.23
DEADLIFT,182 4x4,28.11.23
BENCH,122 3x2 120 3x3,29.11.23
SQUAT,152(3 2) 150 2x2,01.12.23
BENCH,115 4x5,02.12.23
DEADLIFT C,162 4x4,03.12.23
BENCH Paused,115 3x5,05.12.23
BENCH,117 4x4 117*3,07.12.23
SQUAT,140 5x4,09.12.23
BENCH Paused,110 5x4 110*6,10.12.23
DEADLIFT,175 5x4,12.12.23
BENCH,122*3 120 4x3,13.12.23
SQUAT,155 3x3 155*2,16.12.23
BENCH,100 10x3 100*9 100*7,17.12.23
DEADLIFT,192 3x4,18.12.23
BENCH,122 3x5,21.12.23
SQUAT Paused,130 6x4,23.12.23
BENCH Paused,112 4x4 112*6,24.12.23
DEADLIFT Paused,175*5 175 4x3,26.12.23
SQUAT,152 3x4,27.12.23
BENCH,135 120 3x5,28.12.23
DEADLIFT Paused,160 6x4,29.12.23
SQUAT,120 8x4,30.12.23
BENCH Paused,120 3x5,31.12.23
DEADLIFT,177 5x4,02.01.24
BENCH,117 4x5,03.01.24
SQUAT,145 4x3 145*5,04.01.24
BENCH,140 140 120 3x4,06.01.24
DEADLIFT,200 2x4,07.01.24
BENCH Paused,112 5x4 112*4,08.01.24
SQUAT,142 5x4,09.01.24
BENCH,120 4x5,10.01.24
BENCH,125 3x5,13.01.24
DEADLIFT C,152 5x4,14.01.24
BENCH Paused,107 6x6,16.01.24
BENCH,115 5x4 115*6,18.01.24
SQUAT,160 2x3 160,20.01.24
BENCH,140 125*3 130*2 125*3 130*2 125*3,21.01.24
BENCH Paused,122 3x4 122*2,23.01.24
BENCH,110 7x4 110*6,25.01.24
DEADLIFT,185(4 4 3 3),27.01.24
SQUAT Paused,147 3x2 140 3x2,28.01.24,85^5kg BW
BENCH,100(18 10 9 8 8),30.01.24
BENCH,122 4x5,01.02.24,APG
DEADLIFT Paused,170 5x4,03.02.24
SQUAT,155 3x4,04.02.24
BENCH Paused,125 3x5,06.02.24,Hard...
BENCH,117(5 5 5 4 3),08.02.24,APG
DEADLIFT,195 3x3,10.02.24
SQUAT,140(5 5 4 3),11.02.24,:(
BENCH,112(6 7 6 7 7),13.02.24
BENCH Paused,130(2 2 1) 122 2x2,17.02.24
DEADLIFT,205 2x2 187 2x2,17.02.24
SQUAT,120 8x4,18.02.24,84.4kg BW
